	OPERATORE	ID IMPIANTO	TIPO	UBICAZIONE	PROV	ALTITUDINE	CANALE	BOUQUET	ERP MAX H	ERP MAX V	FREQ. CENTRALE/PORTANTE	MUNICIPIO	geometry
57	MULTIMEDIA SAN PAOLO SOCIETA' A RESPONSABILITA' LIMITATA	CNF128922	TD	MI Silva - Milano via Silva 36 - MILANO	MI	129	59	MSP1	33.0		778,0	8	POINT (9.1466666667 45.4791666667)
58	PERSIDERA S.P.A.	CNF129019	TD	MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO	MI	125	47	TIMB1	18.0		682,0	2	POINT (9.1988888889 45.4794444444)
59	PERSIDERA S.P.A.	CNF129108	TD	MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO	MI	125	55	TIMB2	18.0		746,0	2	POINT (9.1988888889 45.4794444444)
60	STUDIO TV 1 NEWS S.R.L.	CNF129599	TD	MILANO-CORSO SEMPIONE - CORSO SEMPIONE - MILANO	MI	124	31	Studio1	33.0		554,0	8	POINT (9.1661111111 45.4777777778)
61	UNITEDCOM S.R.L.	CNF134759	TD	MI BREDA - VIA CASATI GRATTACIELO BREDA - MILANO	MI	128	25	UNITEDCOM 1	21.0		506,0	2	POINT (9.1994444444 45.48)
62	RAI - RADIOTELEVISIONE ITALIANA S.P.A.	CNF136202	TD	MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO	MI	129	23	DVM1-MI		14.0	490,0	8	POINT (9.1566666667 45.4780555556)
63	RAI - RADIOTELEVISIONE ITALIANA S.P.A.	CNF136203	TD	MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO	MI	129	30	DVM2		15.0	546,0	8	POINT (9.1566666667 45.4780555556)
64	RAI - RADIOTELEVISIONE ITALIANA S.P.A.	CNF136204	TD	MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO	MI	129	26	DVM3		14.0	514,0	8	POINT (9.1566666667 45.4780555556)
65	RAI - RADIOTELEVISIONE ITALIANA S.P.A.	CNF136205	TD	MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO	MI	129	40	DVM4		15.0	626,0	8	POINT (9.1566666667 45.4780555556)
66	PERSIDERA S.P.A.	CNF137177	TD	CORSO SEMPIONE - CORSO SEMPIONE - MILANO	MI	130	33	RETE A - 2	39.0		570,0	8	POINT (9.1658333333 45.4783333333)
67	PERSIDERA S.P.A.	CNF137178	TD	MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO	MI	133	44	RETE A - 1	16.0		658,0	2	POINT (9.1988888889 45.4794444444)
68	BEACOM S.R.L.	CNF137840	TD	VIA SILVA - MILANO - MILANO	MI	254	21	SANPAOLOTV	43.0		474,0	8	POINT (9.1469444444 45.4791666667)
69	3LETTRONICA INDUSTRIALE S.P.A.	CNF138337	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	37	LA3TV	26.0		602,0	2	POINT (9.1994444444 45.4802777778)
70	CAIRO NETWORK S.R.L.	CNF138341	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	25	CAIRO DUE	26.0		506,0	2	POINT (9.1994444444 45.4802777778)
71	ELETTRONICA INDUSTRIALE SPA	CNF138372	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	52	MEDIASET 1	27.0		722,0	2	POINT (9.1994444444 45.4802777778)
72	ELETTRONICA INDUSTRIALE SPA	CNF138374	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	36	MEDIASET 2	26.0		594,0	2	POINT (9.1994444444 45.4802777778)
73	ELETTRONICA INDUSTRIALE SPA	CNF138376	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	38	MEDIASET 3	26.0		610,0	2	POINT (9.1994444444 45.4802777778)
74	ELETTRONICA INDUSTRIALE SPA	CNF138378	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	49	MEDIASET 4	27.0		698,0	2	POINT (9.1994444444 45.4802777778)
75	ELETTRONICA INDUSTRIALE SPA	CNF138380	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	56	MEDIASET 5	27.0		754,0	2	POINT (9.1994444444 45.4802777778)
76	PRIMA TV - S.P.A.	CNF138393	TD	MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO	MI	121	50	DFree	27.0		706,0	2	POINT (9.1994444444 45.4802777778)
77	TELELIBERTA' - SOCIETA' PER AZIONI	CNF158841	TD	MILANO VIA STEPHENSON - MILANO - MILANO	MI	140	22	TELELIBERTA'	37.0		482,0	8	POINT (9.1255555556 45.5102777778)
